ChainedFMAs,VectorWidth,GFLOPs,Time,GFLOPSPerSec
1,8,576,1.22296,470.99
2,8,1152,1.22352,941.545
3,8,1728,1.4956,1155.39
4,8,2304,1.49549,1540.63
6,8,3456,1.49535,2311.16
5,8,2880,1.49711,1923.71
8,8,4608,1.49547,3081.31
7,8,4032,1.49535,2696.35
9,8,5184,1.68203,3081.99
10,8,5760,1.86882,3082.15
11,8,6336,2.05654,3080.91
12,8,6912,2.24509,3078.72
13,8,7488,2.42946,3082.17
14,8,8064,2.61582,3082.78
15,8,8640,2.80219,3083.3
16,8,9216,2.99181,3080.41
17,8,9792,3.17695,3082.2
18,8,10368,3.36359,3082.42
19,8,10944,3.55005,3082.78
20,8,11520,3.73599,3083.52
21,8,12096,3.92273,3083.57
22,8,12672,4.11039,3082.92
23,8,13248,4.29701,3083.07
24,8,13824,4.48367,3083.19
25,8,14400,4.66964,3083.75
26,8,14976,4.85707,3083.34
27,8,15552,5.04372,3083.44
28,8,16128,5.24707,3073.71
29,8,16704,5.4178,3083.17
30,8,17280,5.60471,3083.12
1,8,576,1.2257,469.937
31,8,17856,6.4715,2759.17
33,8,19008,6.91605,2748.39
32,8,18432,7.47343,2466.34
34,8,19584,8.18724,2392.01
35,8,20160,8.738,2307.17
2,8,1152,1.22329,941.726
4,8,2304,1.49582,1540.29
3,8,1728,1.49552,1155.45
5,8,2880,1.49557,1925.68
6,8,3456,1.49605,2310.09
7,8,4032,1.49518,2696.66
8,8,4608,1.49697,3078.22
9,8,5184,1.68192,3082.2
10,8,5760,1.86942,3081.16
11,8,6336,2.05595,3081.79
12,8,6912,2.2426,3082.14
13,8,7488,2.42861,3083.25
14,8,8064,2.61695,3081.45
15,8,8640,2.80327,3082.12
16,8,9216,2.99075,3081.5
17,8,9792,3.18984,3069.74
18,8,10368,3.36434,3081.74
19,8,10944,3.55012,3082.71
20,8,11520,3.73719,3082.53
21,8,12096,3.92407,3082.52
22,8,12672,4.11034,3082.96
23,8,13248,4.29889,3081.73
24,8,13824,4.48379,3083.11
25,8,14400,4.66874,3084.35
26,8,14976,4.85676,3083.54
27,8,15552,5.04453,3082.94
28,8,16128,5.23318,3081.88
29,8,16704,5.43455,3073.67
30,8,17280,5.60606,3082.38
31,8,17856,6.48252,2754.49
1,8,576,1.22321,470.892
2,8,1152,1.22254,942.299
33,8,19008,6.93903,2739.29
32,8,18432,7.46484,2469.17
34,8,19584,8.1822,2393.49
35,8,20160,8.73938,2306.8
5,8,2880,1.49556,1925.69
6,8,3456,1.49785,2307.3
3,8,1728,1.49623,1154.9
4,8,2304,1.49679,1539.3
7,8,4032,1.49598,2695.23
8,8,4608,1.49551,3081.21
9,8,5184,1.68347,3079.35
10,8,5760,1.87028,3079.75
11,8,6336,2.05641,3081.1
12,8,6912,2.24359,3080.77
13,8,7488,2.42979,3081.74
14,8,8064,2.61558,3083.06
15,8,8640,2.8028,3082.63
16,8,9216,2.98987,3082.41
17,8,9792,3.17787,3081.31
18,8,10368,3.37521,3071.81
19,8,10944,3.55061,3082.29
20,8,11520,3.73637,3083.21
21,8,12096,3.92416,3082.44
22,8,12672,4.10955,3083.55
23,8,13248,4.29624,3083.63
24,8,13824,4.48363,3083.22
25,8,14400,4.67279,3081.67
26,8,14976,4.85663,3083.62
27,8,15552,5.04337,3083.65
28,8,16128,5.23136,3082.94
29,8,16704,5.41865,3082.69
30,8,17280,5.62044,3074.49
31,8,17856,6.48429,2753.73
32,8,18432,7.46338,2469.66
1,8,576,1.22353,470.767
2,8,1152,1.22357,941.505
3,8,1728,1.49556,1155.42
33,8,19008,6.9314,2742.3
34,8,19584,8.1874,2391.97
35,8,20160,8.74193,2306.13
6,8,3456,1.49545,2311.01
5,8,2880,1.4973,1923.46
4,8,2304,1.49482,1541.32
7,8,4032,1.49861,2690.5
8,8,4608,1.49702,3078.11
9,8,5184,1.68306,3080.1
10,8,5760,1.86893,3081.98
11,8,6336,2.0573,3079.76
12,8,6912,2.24213,3082.78
13,8,7488,2.43038,3080.99
14,8,8064,2.61727,3081.08
15,8,8640,2.80286,3082.57
16,8,9216,2.98897,3083.34
17,8,9792,3.17671,3082.44
18,8,10368,3.3629,3083.05
19,8,10944,3.56381,3070.87
20,8,11520,3.73804,3081.83
21,8,12096,3.92505,3081.74
22,8,12672,4.10948,3083.6
23,8,13248,4.29672,3083.28
24,8,13824,4.48295,3083.68
25,8,14400,4.67046,3083.21
26,8,14976,4.85725,3083.23
27,8,15552,5.04309,3083.82
28,8,16128,5.22999,3083.75
29,8,16704,5.41772,3083.22
30,8,17280,5.60459,3083.19
31,8,17856,6.47358,2758.29
33,8,19008,6.92051,2746.62
32,8,18432,7.49609,2458.88
1,8,576,1.223,470.972
2,8,1152,1.22499,940.414
4,8,2304,1.49563,1540.49
3,8,1728,1.49596,1155.11
34,8,19584,8.18175,2393.62
35,8,20160,8.73916,2306.86
7,8,4032,1.49532,2696.41
8,8,4608,1.49705,3078.05
6,8,3456,1.49538,2311.12
5,8,2880,1.49489,1926.57
9,8,5184,1.68294,3080.32
10,8,5760,1.86864,3082.46
11,8,6336,2.05574,3082.1
12,8,6912,2.24222,3082.66
13,8,7488,2.42923,3082.46
14,8,8064,2.61705,3081.33
15,8,8640,2.80417,3081.12
16,8,9216,2.98913,3083.17
17,8,9792,3.17466,3084.42
18,8,10368,3.36307,3082.9
19,8,10944,3.5497,3083.08
20,8,11520,3.75058,3071.52
21,8,12096,3.92574,3081.2
22,8,12672,4.11015,3083.1
23,8,13248,4.29736,3082.82
24,8,13824,4.48407,3082.91
25,8,14400,4.66829,3084.64
26,8,14976,4.85729,3083.2
27,8,15552,5.04572,3082.22
28,8,16128,5.22993,3083.79
29,8,16704,5.41543,3084.52
30,8,17280,5.60547,3082.7
31,8,17856,6.47228,2758.84
33,8,19008,6.92332,2745.51
32,8,18432,7.45528,2472.34
34,8,19584,8.18496,2392.68
35,8,20160,8.7386,2307.01
1,4,288,1.09256,263.602
2,4,576,1.22533,470.076
4,4,1152,1.49602,770.043
6,4,1728,1.49568,1155.33
3,4,864,1.49563,577.683
5,4,1440,1.4959,962.63
7,4,2016,1.49673,1346.93
8,4,2304,1.497,1539.08
9,4,2592,1.68237,1540.68
10,4,2880,1.86902,1540.92
11,4,3168,2.05606,1540.81
12,4,3456,2.24228,1541.29
13,4,3744,2.42968,1540.94
14,4,4032,2.61716,1540.6
15,4,4320,2.8033,1541.04
16,4,4608,2.99031,1540.98
17,4,4896,3.17674,1541.2
18,4,5184,3.36289,1541.53
19,4,5472,3.5552,1539.15
20,4,5760,3.73974,1540.21
21,4,6048,3.92614,1540.45
22,4,6336,4.11295,1540.5
23,4,6624,4.30342,1539.24
24,4,6912,4.48733,1540.34
25,4,7200,4.67224,1541.02
26,4,7488,4.85967,1540.84
27,4,7776,5.0472,1540.65
28,4,8064,5.2343,1540.61
29,4,8352,5.42133,1540.58
30,4,8640,5.60745,1540.81
1,16,1152,1.22384,941.301
31,4,8928,6.05601,1474.24
32,4,9216,6.29341,1464.39
33,4,9504,6.46178,1470.8
34,4,9792,6.78349,1443.51
35,4,10080,7.07975,1423.78
2,16,2304,1.49588,1540.23
3,16,3456,1.4981,2306.93
4,16,4608,5.22343,882.18
5,16,5760,6.38297,902.401
6,16,6912,7.92587,872.081
7,16,8064,9.12654,883.576
8,16,9216,10.5702,871.888
9,16,10368,11.9375,868.527
10,16,11520,13.7723,836.46
11,16,12672,14.8996,850.494
12,16,13824,16.0335,862.195
13,16,14976,17.1602,872.717
